ED_x,ED_y
31371.74918,-3043.083179
31371.79618,-3042.806904
31371.84367,-3042.531103
31371.89165,-3042.255778
31371.94012,-3041.980931
31371.98909,-3041.706563
31372.03857,-3041.432675
31372.08856,-3041.15927
31372.13905,-3040.886347
31372.19006,-3040.61391
31372.24158,-3040.341958
31372.29362,-3040.070491
31372.34616,-3039.799509
31372.39921,-3039.529013
31372.45276,-3039.259003
31372.50682,-3038.989478
31372.56138,-3038.720439
31372.61643,-3038.451885
31372.67197,-3038.183816
31372.72799,-3037.91623
31372.78449,-3037.649128
31372.84146,-3037.382508
31372.89889,-3037.11637
31372.95677,-3036.85071
31373.0151,-3036.585529
31373.07386,-3036.320823
31373.13305,-3036.056593
31373.19267,-3035.792838
31373.2527,-3035.529556
31373.31315,-3035.266748
31373.37401,-3035.004413
31373.43527,-3034.74255
31373.49692,-3034.481156
31373.55895,-3034.220231
31373.62136,-3033.959772
31373.68414,-3033.699779
31373.74728,-3033.440249
31373.81079,-3033.181182
31373.87464,-3032.922577
31373.93883,-3032.664431
31374.00337,-3032.406746
31374.06825,-3032.149522
31374.13347,-3031.892758
31374.19903,-3031.636456
31374.26493,-3031.380617
31374.33118,-3031.125241
31374.39777,-3030.87033
31374.46471,-3030.615887
31374.53201,-3030.361913
31374.59966,-3030.108408
31374.66767,-3029.855375
31374.73605,-3029.602815
31374.8048,-3029.35073
31374.87392,-3029.099122
31374.94342,-3028.847993
31375.01329,-3028.597342
31375.08355,-3028.34717
31375.15419,-3028.097479
31375.22521,-3027.84827
31375.29661,-3027.599541
31375.36839,-3027.351294
31375.44055,-3027.103529
31375.51309,-3026.856247
31375.586,-3026.609447
31375.65929,-3026.363129
31375.73295,-3026.117293
31375.80699,-3025.871939
31375.88139,-3025.627068
31375.95616,-3025.382679
31376.03129,-3025.138771
31376.10678,-3024.895344
31376.18263,-3024.652398
31376.25883,-3024.409934
31376.33539,-3024.16795
31376.4123,-3023.926447
31376.48956,-3023.685425
31376.56717,-3023.444883
31376.64512,-3023.204821
31376.72342,-3022.96524
31376.80206,-3022.726139
31376.88105,-3022.487519
31376.96038,-3022.249382
31377.04005,-3022.01173
31377.12008,-3021.774563
31377.20046,-3021.537883
31377.2812,-3021.301693
31377.36229,-3021.065994
31377.44375,-3020.830789
31377.52557,-3020.596079
